level3a,level3s
Alder,Other hardwood
Ash,Ash
Atlantic white cedar,Atlantic white cedar
Bald cypress,Cedar/juniper
Basswood,Basswood
Beech,Beech
Birch,Birch
Black gum,Black gum/sweet gum
Black gum/sweet gum,Black gum/sweet gum
Buckeye,Other hardwood
Cedar/juniper,Cedar/juniper
Cherry,Cherry
Chestnut,Chestnut
Dogwood,Dogwood
Elm,Elm
Fir,Fir
Hackberry,Other hardwood
Hemlock,Hemlock
Hickory,Hickory
Ironwood,Ironwood
Locust,Other hardwood
Maple,Maple
Mulberry,Other hardwood
No tree,None
Oak,Oak
Other hardwood,Other hardwood
Pine,Pine
Poplar,Poplar/tulip poplar
Poplar/tulip poplar,Poplar/tulip poplar
Spruce,Spruce
Sweet gum,Black gum/sweet gum
Sycamore,Other hardwood
Tamarack,Tamarack
Tulip poplar,Poplar/tulip poplar
Unknown,None
Unknown tree,Other hardwood
Walnut,Walnut
Willow,Other hardwood
